     361      351
       1  2.000e+002  0.000e+000 -3.323e+001
       2  2.674e+002  0.000e+000 -3.289e+001
       3  2.654e+002  2.767e+000 -3.289e+001
       4  2.623e+002  4.339e+000 -3.289e+001
       5  2.589e+002  5.511e+000 -3.289e+001
       6  2.556e+002  6.444e+000 -3.289e+001
       7  2.521e+002  7.246e+000 -3.289e+001
       8  2.487e+002  7.923e+000 -3.289e+001
       9  2.452e+002  8.497e+000 -3.289e+001
      10  2.418e+002  9.014e+000 -3.288e+001
      11  2.383e+002  9.486e+000 -3.288e+001
      12  2.348e+002  9.916e+000 -3.288e+001
      13  2.313e+002  1.031e+001 -3.287e+001
      14  2.279e+002  1.068e+001 -3.287e+001
      15  2.244e+002  1.104e+001 -3.286e+001
      16  2.209e+002  1.139e+001 -3.286e+001
      17  2.174e+002  1.177e+001 -3.285e+001
      18  2.138e+002  1.217e+001 -3.283e+001
      19  2.102e+002  1.262e+001 -3.281e+001
      20  2.063e+002  1.308e+001 -3.279e+001
      21  2.021e+002  1.340e+001 -3.277e+001
      22  1.979e+002  1.340e+001 -3.277e+001
      23  1.937e+002  1.307e+001 -3.279e+001
      24  1.898e+002  1.262e+001 -3.281e+001
      25  1.862e+002  1.216e+001 -3.283e+001
      26  1.826e+002  1.176e+001 -3.285e+001
      27  1.791e+002  1.139e+001 -3.286e+001
      28  1.756e+002  1.103e+001 -3.287e+001
      29  1.721e+002  1.067e+001 -3.287e+001
      30  1.687e+002  1.031e+001 -3.288e+001
      31  1.652e+002  9.909e+000 -3.288e+001
      32  1.617e+002  9.479e+000 -3.288e+001
      33  1.582e+002  9.008e+000 -3.288e+001
      34  1.548e+002  8.490e+000 -3.289e+001
      35  1.513e+002  7.916e+000 -3.289e+001
      36  1.479e+002  7.240e+000 -3.289e+001
      37  1.444e+002  6.435e+000 -3.289e+001
      38  1.411e+002  5.504e+000 -3.289e+001
      39  1.377e+002  4.334e+000 -3.289e+001
      40  1.346e+002  2.757e+000 -3.289e+001
      41  1.326e+002  3.752e-003 -3.289e+001
      42  3.349e+002  0.000e+000 -3.195e+001
      43  3.308e+002  5.500e+000 -3.194e+001
      44  3.245e+002  8.721e+000 -3.194e+001
      45  3.179e+002  1.105e+001 -3.194e+001
      46  3.111e+002  1.292e+001 -3.194e+001
      47  3.042e+002  1.448e+001 -3.193e+001
      48  2.973e+002  1.582e+001 -3.192e+001
      49  2.904e+002  1.700e+001 -3.192e+001
      50  2.835e+002  1.804e+001 -3.191e+001
      51  2.766e+002  1.899e+001 -3.190e+001
      52  2.696e+002  1.984e+001 -3.189e+001
      53  2.627e+002  2.062e+001 -3.187e+001
      54  2.557e+002  2.135e+001 -3.185e+001
      55  2.488e+002  2.207e+001 -3.182e+001
      56  2.418e+002  2.277e+001 -3.179e+001
      57  2.348e+002  2.351e+001 -3.174e+001
      58  2.277e+002  2.432e+001 -3.167e+001
      59  2.203e+002  2.521e+001 -3.158e+001
      60  2.125e+002  2.611e+001 -3.148e+001
      61  2.043e+002  2.674e+001 -3.141e+001
      62  1.957e+002  2.674e+001 -3.141e+001
      63  1.875e+002  2.611e+001 -3.148e+001
      64  1.797e+002  2.521e+001 -3.158e+001
      65  1.724e+002  2.432e+001 -3.167e+001
      66  1.652e+002  2.351e+001 -3.174e+001
      67  1.582e+002  2.278e+001 -3.179e+001
      68  1.512e+002  2.207e+001 -3.182e+001
      69  1.443e+002  2.136e+001 -3.185e+001
      70  1.373e+002  2.063e+001 -3.187e+001
      71  1.304e+002  1.985e+001 -3.189e+001
      72  1.235e+002  1.899e+001 -3.190e+001
      73  1.165e+002  1.805e+001 -3.191e+001
      74  1.096e+002  1.701e+001 -3.192e+001
      75  1.027e+002  1.583e+001 -3.192e+001
      76  9.577e+001  1.449e+001 -3.193e+001
      77  8.891e+001  1.293e+001 -3.193e+001
      78  8.212e+001  1.106e+001 -3.194e+001
      79  7.547e+001  8.735e+000 -3.194e+001
      80  6.918e+001  5.534e+000 -3.194e+001
      81  6.512e+001  7.180e-003 -3.195e+001
      82  4.023e+002  0.000e+000 -3.030e+001
      83  3.962e+002  8.294e+000 -3.030e+001
      84  3.868e+002  1.309e+001 -3.029e+001
      85  3.768e+002  1.657e+001 -3.029e+001
      86  3.666e+002  1.938e+001 -3.028e+001
      87  3.563e+002  2.172e+001 -3.027e+001
      88  3.460e+002  2.374e+001 -3.025e+001
      89  3.356e+002  2.550e+001 -3.024e+001
      90  3.252e+002  2.707e+001 -3.022e+001
      91  3.148e+002  2.848e+001 -3.020e+001
      92  3.044e+002  2.975e+001 -3.017e+001
      93  2.940e+002  3.092e+001 -3.013e+001
      94  2.835e+002  3.202e+001 -3.008e+001
      95  2.731e+002  3.307e+001 -3.002e+001
      96  2.626e+002  3.412e+001 -2.994e+001
      97  2.521e+002  3.521e+001 -2.982e+001
      98  2.414e+002  3.641e+001 -2.967e+001
      99  2.304e+002  3.772e+001 -2.947e+001
     100  2.188e+002  3.903e+001 -2.924e+001
     101  2.064e+002  3.994e+001 -2.907e+001
