MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
--------------------------------------------------------------
62.832   0.100     1.831e-002  2.214e+001  2.214e+001   89.953
52.098   0.121     1.936e-002  1.836e+001  1.837e+001   89.940
44.497   0.141     1.927e-002  1.568e+001  1.568e+001   89.930
38.831   0.162     1.890e-002  1.368e+001  1.369e+001   89.921
34.445   0.182     1.857e-002  1.214e+001  1.214e+001   89.912
30.949   0.203     1.837e-002  1.090e+001  1.090e+001   89.903
28.098   0.224     1.831e-002  9.896e+000  9.896e+000   89.894
25.727   0.244     1.832e-002  9.060e+000  9.060e+000   89.884
23.726   0.265     1.836e-002  8.354e+000  8.354e+000   89.874
22.013   0.285     1.841e-002  7.750e+000  7.750e+000   89.864
20.531   0.306     1.844e-002  7.227e+000  7.227e+000   89.854
19.236   0.327     1.846e-002  6.770e+000  6.770e+000   89.844
18.095   0.347     1.847e-002  6.367e+000  6.367e+000   89.834
17.081   0.368     1.847e-002  6.009e+000  6.009e+000   89.824
16.175   0.388     1.848e-002  5.689e+000  5.689e+000   89.814
15.361   0.409     1.849e-002  5.401e+000  5.401e+000   89.804
14.624   0.430     1.850e-002  5.140e+000  5.140e+000   89.794
13.955   0.450     1.852e-002  4.904e+000  4.904e+000   89.784
13.344   0.471     1.853e-002  4.688e+000  4.688e+000   89.774
12.785   0.491     1.855e-002  4.490e+000  4.490e+000   89.763
12.270   0.512     1.856e-002  4.308e+000  4.308e+000   89.753
11.796   0.533     1.858e-002  4.140e+000  4.140e+000   89.743
11.357   0.553     1.860e-002  3.985e+000  3.985e+000   89.733
10.949   0.574     1.861e-002  3.840e+000  3.840e+000   89.722
10.569   0.594     1.863e-002  3.706e+000  3.706e+000   89.712
10.215   0.615     1.865e-002  3.580e+000  3.580e+000   89.702
9.884    0.636     1.867e-002  3.463e+000  3.463e+000   89.691
9.574    0.656     1.869e-002  3.353e+000  3.353e+000   89.681
9.283    0.677     1.871e-002  3.249e+000  3.249e+000   89.670
9.008    0.697     1.873e-002  3.152e+000  3.152e+000   89.659
8.750    0.718     1.876e-002  3.060e+000  3.060e+000   89.649
8.506    0.739     1.878e-002  2.973e+000  2.974e+000   89.638
8.275    0.759     1.880e-002  2.891e+000  2.891e+000   89.627
8.056    0.780     1.883e-002  2.814e+000  2.814e+000   89.617
7.849    0.801     1.885e-002  2.740e+000  2.740e+000   89.606
7.652    0.821     1.888e-002  2.670e+000  2.670e+000   89.595
7.465    0.842     1.891e-002  2.603e+000  2.603e+000   89.584
7.286    0.862     1.893e-002  2.539e+000  2.540e+000   89.573
7.116    0.883     1.896e-002  2.479e+000  2.479e+000   89.562
6.954    0.904     1.899e-002  2.421e+000  2.421e+000   89.550
6.799    0.924     1.902e-002  2.366e+000  2.366e+000   89.539
6.651    0.945     1.905e-002  2.313e+000  2.313e+000   89.528
6.509    0.965     1.909e-002  2.262e+000  2.262e+000   89.517
6.373    0.986     1.912e-002  2.213e+000  2.213e+000   89.505
6.242    1.007     1.915e-002  2.166e+000  2.167e+000   89.493
6.117    1.027     1.919e-002  2.122e+000  2.122e+000   89.482
5.997    1.048     1.922e-002  2.078e+000  2.079e+000   89.470
5.881    1.068     1.926e-002  2.037e+000  2.037e+000   89.458
5.770    1.089     1.930e-002  1.997e+000  1.997e+000   89.446
5.663    1.110     1.934e-002  1.959e+000  1.959e+000   89.434
5.560    1.130     1.938e-002  1.921e+000  1.922e+000   89.422
5.460    1.151     1.942e-002  1.886e+000  1.886e+000   89.410
5.364    1.171     1.946e-002  1.851e+000  1.851e+000   89.398
5.271    1.192     1.950e-002  1.818e+000  1.818e+000   89.385
5.182    1.213     1.954e-002  1.785e+000  1.785e+000   89.373
5.095    1.233     1.959e-002  1.754e+000  1.754e+000   89.360
5.011    1.254     1.963e-002  1.724e+000  1.724e+000   89.348
4.930    1.274     1.968e-002  1.695e+000  1.695e+000   89.335
4.852    1.295     1.973e-002  1.666e+000  1.666e+000   89.322
4.776    1.316     1.977e-002  1.639e+000  1.639e+000   89.309
4.702    1.336     1.982e-002  1.612e+000  1.612e+000   89.295
4.631    1.357     1.988e-002  1.586e+000  1.586e+000   89.282
4.562    1.377     1.993e-002  1.561e+000  1.561e+000   89.269
4.494    1.398     1.998e-002  1.536e+000  1.536e+000   89.255
4.429    1.419     2.004e-002  1.513e+000  1.513e+000   89.241
4.366    1.439     2.009e-002  1.489e+000  1.490e+000   89.227
4.304    1.460     2.015e-002  1.467e+000  1.467e+000   89.213
4.244    1.480     2.021e-002  1.445e+000  1.445e+000   89.199
4.186    1.501     2.027e-002  1.424e+000  1.424e+000   89.184
4.129    1.522     2.033e-002  1.403e+000  1.403e+000   89.170
4.074    1.542     2.039e-002  1.383e+000  1.383e+000   89.155
4.020    1.563     2.045e-002  1.363e+000  1.363e+000   89.140
3.968    1.583     2.052e-002  1.344e+000  1.344e+000   89.125
3.917    1.604     2.059e-002  1.325e+000  1.325e+000   89.110
3.867    1.625     2.066e-002  1.307e+000  1.307e+000   89.094
3.819    1.645     2.073e-002  1.289e+000  1.289e+000   89.079
3.772    1.666     2.080e-002  1.271e+000  1.272e+000   89.063
3.726    1.686     2.087e-002  1.254e+000  1.255e+000   89.047
3.681    1.707     2.094e-002  1.238e+000  1.238e+000   89.031
3.637    1.728     2.102e-002  1.221e+000  1.222e+000   89.014
3.594    1.748     2.110e-002  1.205e+000  1.206e+000   88.997
3.552    1.769     2.118e-002  1.190e+000  1.190e+000   88.980
3.511    1.789     2.126e-002  1.175e+000  1.175e+000   88.963
3.471    1.810     2.134e-002  1.160e+000  1.160e+000   88.946
3.432    1.831     2.143e-002  1.145e+000  1.145e+000   88.928
3.394    1.851     2.152e-002  1.131e+000  1.131e+000   88.910
3.357    1.872     2.161e-002  1.117e+000  1.117e+000   88.892
3.320    1.892     2.170e-002  1.103e+000  1.103e+000   88.873
3.284    1.913     2.179e-002  1.090e+000  1.090e+000   88.854
3.249    1.934     2.189e-002  1.076e+000  1.077e+000   88.835
3.215    1.954     2.198e-002  1.063e+000  1.064e+000   88.816
3.182    1.975     2.208e-002  1.051e+000  1.051e+000   88.796
3.149    1.995     2.218e-002  1.038e+000  1.038e+000   88.776
3.117    2.016     2.229e-002  1.026e+000  1.026e+000   88.755
3.085    2.037     2.240e-002  1.014e+000  1.014e+000   88.735
3.054    2.057     2.250e-002  1.002e+000  1.002e+000   88.713
3.024    2.078     2.262e-002  9.905e-001  9.908e-001   88.692
2.994    2.098     2.273e-002  9.791e-001  9.794e-001   88.670
2.965    2.119     2.285e-002  9.679e-001  9.682e-001   88.648
2.936    2.140     2.297e-002  9.569e-001  9.571e-001   88.625
2.908    2.160     2.309e-002  9.460e-001  9.463e-001   88.602
2.881    2.181     2.321e-002  9.354e-001  9.357e-001   88.578
2.854    2.202     2.334e-002  9.249e-001  9.252e-001   88.554
2.828    2.222     2.347e-002  9.146e-001  9.149e-001   88.530
2.802    2.243     2.360e-002  9.044e-001  9.047e-001   88.505
2.776    2.263     2.374e-002  8.944e-001  8.947e-001   88.480
