                                            MOTIONS (CENTER OF GRAVITY, INTERPOLATE, WNX6)
-----------------------------------------------------------------------------------------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ              Surge                Sway                 Heave                Roll                 Pitch                 Yaw
------   ----     -----------------------------------------------------------------------------------------------------------------------------
(SECS)  (RAD/S)        AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE       AMP      PHASE
-----------------------------------------------------------------------------------------------------------------------------------------------
62.832   0.100     2.214e+001   89.953  2.804e-013    0.000  1.000e+000    0.157  2.045e-013    0.000  1.294e+000  -89.865  2.148e-010    0.000
52.098   0.121     1.837e+001   89.940  9.947e-014    0.000  1.000e+000    0.187  1.833e-013    0.000  1.560e+000  -89.833  1.787e-010    0.000
44.497   0.141     1.568e+001   89.930  6.635e-015    0.000  1.001e+000    0.218  1.642e-013    0.000  1.827e+000  -89.805  1.494e-010    0.000
38.831   0.162     1.369e+001   89.921  4.242e-014    0.000  1.001e+000    0.248  1.493e-013    0.000  2.093e+000  -89.779  1.228e-010    0.000
34.445   0.182     1.214e+001   89.912  6.713e-014    0.000  1.001e+000    0.279  1.408e-013    0.000  2.360e+000  -89.753  9.726e-011    0.000
30.949   0.203     1.090e+001   89.903  7.770e-014    0.000  1.002e+000    0.310  1.406e-013    0.000  2.626e+000  -89.727  7.218e-011    0.000
28.098   0.224     9.896e+000   89.894  7.902e-014    0.000  1.002e+000    0.341  1.483e-013    0.000  2.893e+000  -89.699  4.803e-011    0.000
25.727   0.244     9.060e+000   89.884  7.290e-014    0.000  1.002e+000    0.371  1.569e-013    0.000  3.160e+000  -89.672  2.677e-011    0.000
23.726   0.265     8.354e+000   89.874  6.061e-014    0.000  1.003e+000    0.401  1.585e-013    0.000  3.426e+000  -89.644  9.358e-012    0.000
22.013   0.285     7.750e+000   89.864  4.319e-014    0.000  1.003e+000    0.432  1.451e-013    0.000  3.693e+000  -89.615  4.014e-012    0.000
20.531   0.306     7.227e+000   89.854  2.152e-014    0.000  1.004e+000    0.462  1.090e-013    0.000  3.960e+000  -89.587  1.330e-011    0.000
19.236   0.327     6.770e+000   89.844  2.092e-015    0.000  1.004e+000    0.493  5.124e-014    0.000  4.227e+000  -89.559  1.897e-011    0.000
18.095   0.347     6.367e+000   89.834  2.353e-014    0.000  1.005e+000    0.523  1.219e-014    0.000  4.494e+000  -89.532  2.162e-011    0.000
17.081   0.368     6.009e+000   89.824  4.039e-014    0.000  1.006e+000    0.554  6.394e-014    0.000  4.760e+000  -89.504  2.173e-011    0.000
16.175   0.388     5.689e+000   89.814  5.124e-014    0.000  1.006e+000    0.585  8.672e-014    0.000  5.027e+000  -89.476  1.970e-011    0.000
15.361   0.409     5.401e+000   89.804  5.545e-014    0.000  1.007e+000    0.616  6.390e-014    0.000  5.294e+000  -89.448  1.587e-011    0.000
14.624   0.430     5.140e+000   89.794  5.390e-014    0.000  1.008e+000    0.648  3.802e-015    0.000  5.561e+000  -89.420  1.104e-011    0.000
13.955   0.450     4.904e+000   89.784  4.848e-014    0.000  1.008e+000    0.679  9.417e-014    0.000  5.828e+000  -89.392  6.390e-012    0.000
13.344   0.471     4.688e+000   89.774  4.064e-014    0.000  1.009e+000    0.711  1.852e-013    0.000  6.096e+000  -89.364  2.734e-012    0.000
12.785   0.491     4.490e+000   89.763  3.140e-014    0.000  1.010e+000    0.743  2.542e-013    0.000  6.363e+000  -89.336  6.266e-013    0.000
12.270   0.512     4.308e+000   89.753  2.153e-014    0.000  1.011e+000    0.776  2.798e-013    0.000  6.630e+000  -89.308  3.977e-013    0.000
11.796   0.533     4.140e+000   89.743  1.193e-014    0.000  1.012e+000    0.809  2.599e-013    0.000  6.897e+000  -89.280  1.475e-012    0.000
11.357   0.553     3.985e+000   89.733  3.554e-015    0.000  1.013e+000    0.842  2.075e-013    0.000  7.165e+000  -89.252  2.936e-012    0.000
10.949   0.574     3.840e+000   89.722  2.940e-015    0.000  1.014e+000    0.875  1.361e-013    0.000  7.432e+000  -89.224  4.063e-012    0.000
10.569   0.594     3.706e+000   89.712  7.054e-015    0.000  1.015e+000    0.909  5.927e-014    0.000  7.700e+000  -89.196  4.327e-012    0.000
10.215   0.615     3.580e+000   89.702  8.562e-015    0.000  1.016e+000    0.944  1.041e-014    0.000  7.967e+000  -89.167  3.421e-012    0.000
